Order_Date,Region,Category,Sub_Category,Customer_Segment,Sales,Quantity,Discount,Profit
2023-09-08,South,Furniture,Bookcases,Consumer,112.57,7,0.0,61.69
2024-04-05,North,Furniture,Tables,Consumer,129.52,12,0.0,78.58
2024-02-23,West,Technology,Laptops,Home Office,176.92,7,0.2,23.02
2023-05-31,East,Furniture,Tables,Home Office,476.82,2,0.2,84.97
2023-04-12,South,Office Supplies,Paper,Consumer,175.9,1,0.2,34.49
2023-07-18,East,Office Supplies,Paper,Corporate,21.87,4,0.3,18.06
2023-10-29,East,Technology,Phones,Home Office,425.37,9,0.3,15.07
2023-08-14,East,Furniture,Tables,Home Office,34.67,6,0.0,4.03
2023-08-17,South,Technology,Accessories,Corporate,112.85,8,0.0,47.65
2024-05-14,South,Technology,Phones,Home Office,561.23,6,0.0,189.11
2024-01-16,South,Furniture,Chairs,Corporate,523.59,9,0.0,146.19
2024-10-18,South,Technology,Laptops,Corporate,150.54,12,0.4,-45.5
2023-08-06,South,Technology,Phones,Corporate,346.7,7,0.0,111.73
2023-09-13,South,Technology,Phones,Consumer,230.53,6,0.1,51.4
2023-03-25,East,Furniture,Bookcases,Corporate,321.28,9,0.4,-36.58
2024-05-04,East,Furniture,Tables,Home Office,438.96,9,0.1,97.41
2023-11-20,South,Office Supplies,Storage,Home Office,162.52,12,0.0,74.87
2023-02-24,South,Office Supplies,Storage,Home Office,35.71,14,0.3,-15.53
2023-04-26,East,Technology,Accessories,Home Office,155.49,3,0.3,-15.04
2024-09-01,East,Office Supplies,Paper,Home Office,75.5,2,0.2,12.43
2023-08-21,South,Furniture,Chairs,Consumer,904.6,4,0.0,324.39
2024-12-16,North,Furniture,Chairs,Home Office,108.96,4,0.0,19.48
2023-03-20,South,Office Supplies,Paper,Home Office,154.53,12,0.0,58.13
2023-07-13,East,Technology,Accessories,Home Office,358.98,3,0.1,86.34
2023-06-10,West,Technology,Laptops,Consumer,234.27,1,0.2,42.71
2023-09-28,North,Technology,Phones,Corporate,106.81,10,0.2,44.2
2023-08-01,North,Technology,Accessories,Corporate,155.06,7,0.1,59.33
2024-09-17,West,Technology,Accessories,Corporate,,7,0.3,10.3
2023-12-22,West,Office Supplies,Paper,Home Office,21.85,1,0.0,18.27
2024-06-23,South,Furniture,Bookcases,Consumer,103.58,7,0.0,41.11
2023-08-18,West,Technology,Phones,Corporate,125.79,2,0.0,43.49
2023-05-14,East,Furniture,Chairs,Home Office,20.15,7,0.1,6.38
2023-10-20,East,Furniture,Chairs,Home Office,87.19,13,0.1,13.64
2024-01-05,North,Technology,Phones,Corporate,24.96,2,0.1,-9.27
2023-02-03,North,Furniture,Chairs,Corporate,77.07,12,0.0,48.83
2023-06-04,North,Office Supplies,Storage,Home Office,229.48,9,0.2,55.23
2024-11-17,East,Furniture,Chairs,Corporate,216.38,9,0.2,19.85
2024-06-15,East,Office Supplies,Binders,Corporate,48.24,14,0.0,13.85
2024-06-09,East,Technology,Accessories,Corporate,109.51,7,0.4,-35.61
2023-08-31,South,Furniture,Tables,Home Office,119.33,2,0.2,39.57
2024-10-24,North,Furniture,Bookcases,Corporate,174.46,9,0.0,52.33
2024-03-05,East,Furniture,Tables,Corporate,38.16,13,0.0,22.51
2023-01-17,West,Furniture,Chairs,Home Office,448.25,10,0.0,159.24
2023-06-17,South,Office Supplies,Paper,Consumer,82.0,14,0.0,38.52
2024-11-21,West,Office Supplies,Storage,Consumer,509.21,14,0.0,189.34
2024-01-11,East,Furniture,Bookcases,Home Office,90.15,13,0.0,25.26
2024-09-26,North,Office Supplies,Storage,Corporate,349.76,4,0.1,63.44
2023-04-30,West,Office Supplies,Paper,Home Office,216.2,6,0.2,31.19
2023-05-04,West,Office Supplies,Paper,Home Office,71.09,10,0.1,25.0
2024-01-21,South,Technology,Laptops,Consumer,37.72,10,0.0,2.01
2024-12-13,North,Furniture,Chairs,Corporate,229.99,6,0.4,-17.37
2023-05-02,South,Furniture,Tables,Corporate,23.33,12,0.2,-42.63
2023-04-30,North,Technology,Accessories,Home Office,90.54,6,0.2,30.48
2024-11-12,West,Office Supplies,Storage,Consumer,98.27,13,0.0,35.61
2023-04-19,East,Furniture,Tables,Corporate,941.26,3,0.2,169.89
2023-07-19,East,Office Supplies,Storage,Home Office,106.56,11,0.0,35.52
2024-04-29,West,Office Supplies,Storage,Home Office,538.66,8,0.0,192.34
2024-02-14,South,Technology,Laptops,Corporate,436.42,11,0.1,126.87
2024-09-06,West,Technology,Accessories,Home Office,124.24,13,0.1,14.52
2024-05-26,West,Office Supplies,Storage,Home Office,57.7,1,0.2,22.53
2023-11-19,East,Technology,Accessories,Corporate,179.54,9,0.2,56.31
2024-06-08,South,Technology,Laptops,Consumer,162.91,10,0.2,9.86
2023-05-17,East,Office Supplies,Storage,Home Office,497.72,7,0.2,76.04
2023-09-27,South,Technology,Laptops,Consumer,56.47,5,0.2,-4.5
2023-04-15,South,Office Supplies,Storage,Home Office,124.86,7,0.4,-29.82
2024-06-08,East,Furniture,Chairs,Corporate,191.41,7,0.1,41.38
2023-03-02,South,Technology,Accessories,Consumer,164.08,13,0.0,73.07
2024-07-28,South,Technology,Laptops,Home Office,178.44,2,0.0,45.72
2024-06-17,North,Office Supplies,Binders,Corporate,365.54,13,0.1,118.79
2023-07-15,South,Office Supplies,Paper,Consumer,149.88,7,0.2,43.72
2024-03-26,South,Office Supplies,Binders,Home Office,22.49,8,0.0,31.41
2023-10-12,North,Furniture,Bookcases,Consumer,45.42,10,0.0,9.7
2023-08-12,West,Office Supplies,Storage,Home Office,140.65,9,0.0,81.23
2023-06-08,East,Office Supplies,Storage,Consumer,101.82,12,0.2,-10.5
2023-10-07,West,Furniture,Chairs,Consumer,173.08,4,0.2,33.61
2023-12-04,West,Office Supplies,Paper,Corporate,26.07,8,0.1,-39.88
2023-04-23,South,Office Supplies,Paper,Home Office,31.55,6,0.0,3.29
2023-11-05,South,Technology,Accessories,Corporate,32.79,10,0.1,-0.25
2024-01-27,South,Furniture,Chairs,Corporate,133.46,2,0.1,54.41
2023-09-08,North,Furniture,Chairs,Consumer,,3,0.0,101.97
2023-11-12,North,Furniture,Bookcases,Consumer,107.32,12,0.1,2.85
2023-02-04,East,Furniture,Chairs,Consumer,781.16,12,0.1,201.34
2023-11-16,East,Furniture,Tables,Consumer,848.88,3,0.0,296.35
2023-10-23,West,Office Supplies,Paper,Home Office,24.04,11,0.1,18.8
2024-04-20,North,Furniture,Tables,Corporate,22.64,12,0.1,19.99
2024-03-18,West,Furniture,Tables,Corporate,94.48,14,0.3,16.21
2024-10-03,North,Furniture,Chairs,Home Office,155.72,8,0.2,33.91
2023-08-14,North,Furniture,Tables,Corporate,237.33,8,0.4,-22.03
